year,number_of_caitlins
2021,30
2020,58
2019,96
2018,109
2017,103
2016,172
2015,438
2014,588
2013,619
2012,713
2011,772
2010,909
2009,1203
2008,1436
2007,1501
2006,1636
2005,1773
2004,2038
2003,2310
2002,2730
2001,3455
2000,4102
1999,3461
1998,4175
1997,3855
1996,4269
1995,4384
1994,4655
1993,5428
1992,5392
1991,6383
1990,7035
1989,7052
1988,7246
1987,4990
1986,3873
1985,3602
1984,2336
1983,1861
1982,1155
1981,742
1980,596
1979,204
1978,180
1977,116
1976,91
1975,49
1974,43
1973,39
1972,49
1971,42
1970,58
1969,57
1968,47
1967,35
1966,22
1965,6
1964,7
1961,5
1957,5