year,number_of_theos
1910,19
1911,16
1912,28
1913,38
1914,76
1915,91
1916,107
1917,102
1918,109
1919,124
1920,100
1921,100
1922,126
1923,74
1924,108
1925,114
1926,113
1927,85
1928,66
1929,46
1930,61
1931,77
1932,55
1933,28
1934,27
1935,42
1936,39
1937,12
1938,30
1939,12
1940,5
1941,7
1942,11
1943,30
1944,11
1945,11
1946,17
1947,15
1948,11
1949,6
1950,12
1951,8
1952,17
1953,6
1955,6
1956,11
1957,5
1959,5
1960,10
1962,6
1965,14
1967,6
1969,12
1974,5
1975,16
1976,19
1977,15
1978,10
1985,23
1986,41
1987,24
1988,47
1989,35
1990,24
1991,14
1992,22
1993,16
1994,17
1995,23
1996,18
1997,28
1998,26
1999,22
2000,51
2001,40
2002,47
2003,62
2004,78
2005,78
2006,103
2007,139
2008,132
2009,141
2010,180
2011,184
2012,238
2013,320
2014,507
2015,724
2016,909
2017,1211
2018,1539
2019,2008
2020,2214
2021,2690